country,name,full_name,symbol,issuer,isin,asset_class,underlying
netherlands,BNP Put 18134 NVIDIA CORP 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 181.34 USD NVIDIA CORP 31Dec99,NL0013162688,,,,
netherlands,GS Put 31.13333 EUR APERAM 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 31.13333 EUR APERAM 31Dec99,NL0013180813,,,,
netherlands,GS Call 582242 EUR BAYER AG 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 58.2242 EUR BAYER AG 31Dec99,NL0013228018,,,,
netherlands,GS Call 13809524 Baidu Inc 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 138.09524 USD Baidu Inc 31Dec99,NL0013184633,,,,
netherlands,GS Call 5.05 EUR TOMTOM NV 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Call 5.05 EUR TOMTOM NV 31Dec99,NL0011040597,,,,
netherlands,GS Put 11.98 EUR TOMTOM NV 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 11.98 EUR TOMTOM NV 31Dec99,NL0011732458,,,,
netherlands,GS Put 1.315 USD EUR / USD 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 1.315 USD EUR / USD 31Dec99,NL0011040993,,,,
netherlands,GS Put 1.17789 USD EUR/USD 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 1.17789 USD EUR/USD 31Dec99,NL0013081672,,,,
netherlands,GS Put 1.17085 USD EUR/USD 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 1.17085 USD EUR/USD 31Dec99,NL0013188832,,,,
netherlands,GS Put 1.16985 USD EUR/USD 31Dec99,GOLDMAN SACHS & CO WERTP.GMBH Put 1.16985 USD EUR/USD 31Dec99,NL0013184922,,,,
